step,trans_type,amount,nameOrig,oldbalanceOrg,nameDest,oldbalanceDest,accountType,isFraud,isFlaggedFraud
1,WIRE_IN,181,C1305486145,181,C553264065,0,FOREIGN,1,0
1,CASH_OUT,181,C840083671,181,C38997010,21182,DOMESTIC,1,0
1,CASH_OUT,416001.33,C749981943,0,C667346055,102,DOMESTIC,1,1
1,CASH_OUT,1277212.77,C467632528,1277212.77,C716083600,0,DOMESTIC,1,1
1,CASH_OUT,35063.63,C1635772897,35063.63,C1983025922,31140,DOMESTIC,1,1
1,CASH_OUT,132842.64,C13692003,4499.08,C297927961,0,DOMESTIC,1,1
2,CASH_OUT,1096187.24,C77163673,1096187.24,C644345897,0,DOMESTIC,1,1
2,CASH_OUT,963532.14,C430329518,963532.14,C991505714,132382.57,DOMESTIC,1,1
2,WIRE_IN,18627.02,C1375503918,18627.02,C234430897,0,FOREIGN,1,1
3,WIRE_IN,10539.37,C1134864869,10539.37,C118648358,0,FOREIGN,1,1
3,CASH_OUT,10539.37,C1984954272,10539.37,C124540047,0,DOMESTIC,1,0
4,WIRE_OUT,169941.73,C540962910,169941.73,C2127862399,0,FOREIGN,1,1
4,CASH_OUT,169941.73,C2026325575,169941.73,C1394526584,0,DOMESTIC,1,0
4,WIRE_IN,13707.11,C17222024,13707.11,C410033330,0,FOREIGN,1,0
4,CASH_OUT,13707.11,C556223230,13707.11,C2094777811,0,DOMESTIC,1,0
4,WIRE_IN,86070.17,C1844941220,86070.17,C1191544932,0,FOREIGN,1,0
4,CASH_OUT,86070.17,C1699873763,86070.17,C560041895,0,DOMESTIC,1,0
5,CASH_OUT,120074.73,C1174000532,120074.73,C410033330,0,DOMESTIC,1,0
5,WIRE_OUT,60726.57,C383882703,60726.57,C1807010830,0,FOREIGN,1,0
5,CASH_OUT,60726.57,C840095827,60726.57,C803116137,13010502.78,DOMESTIC,1,1
5,CASH_OUT,10119.47,C213063852,10119.47,C922511709,0,DOMESTIC,1,1
6,CASH_OUT,33332.86,C685428529,33332.86,C1626759869,31002,DOMESTIC,1,1
6,WIRE_IN,25975.86,C864622150,25975.86,C41792607,0,FOREIGN,1,0
6,WIRE_IN,26768.5,C457596841,26768.5,C1956477953,0,FOREIGN,1,0
6,CASH_OUT,216422,C1547714604,216422,C7881234,10097,DOMESTIC,1,0
6,WIRE_IN,17320.91,C788790720,17320.91,C1589547066,0,FOREIGN,1,0
6,CASH_OUT,17320.91,C436661284,17320.91,C522173599,6244.44,DOMESTIC,1,0
6,CASH_OUT,17246,C1484518113,17246,C978609035,0,DOMESTIC,1,0
6,WIRE_OUT,10565,C777407608,10565,C1790657739,0,FOREIGN,1,0
6,WIRE_IN,10224,C365589282,10224,C908043384,0,FOREIGN,1,0
6,CASH_OUT,10224,C1284098442,10224,C801412408,0,DOMESTIC,1,0
6,WIRE_OUT,13704,C1735554279,13704,C12793273,0,FOREIGN,1,1
7,CASH_OUT,262434.54,C383717053,262434.54,C380242442,19525.79,DOMESTIC,1,0
7,WIRE_IN,164,C1455969984,164,C2119910556,0,FOREIGN,1,0
7,CASH_OUT,21571,C452475723,21571,C2089016471,30797.41,DOMESTIC,1,0
8,CASH_OUT,181728.11,C2102265902,0,C789014007,11397,DOMESTIC,1,0
8,CASH_OUT,222,C1737727444,222,C588779235,24708,DOMESTIC,1,0
8,CASH_OUT,1996.17,C858959216,1996.17,C864078397,2559.74,DOMESTIC,1,0
8,WIRE_OUT,1078013.76,C1026280121,0,C277510102,0,FOREIGN,1,1
8,WIRE_OUT,29707.86,C1825456600,29707.86,C570409417,0,FOREIGN,1,0
8,CASH_OUT,43092,C1395071924,43092,C79685693,660641.74,DOMESTIC,1,0
9,WIRE_IN,556218.01,C1769581889,556218.01,C217441120,0,FOREIGN,1,1
9,WIRE_OUT,350705.74,C1452168793,350705.74,C399194578,0,FOREIGN,1,0
9,CASH_OUT,350705.74,C58527359,350705.74,C582901057,894760.68,DOMESTIC,1,0
9,CASH_OUT,361559.69,C684758020,361559.69,C1769042905,504667.31,DOMESTIC,1,0
9,CASH_OUT,21922,C1499032143,21922,C1508330669,1929861.61,DOMESTIC,1,0
10,CASH_OUT,277970.88,C489647033,0,C571514738,0,DOMESTIC,1,0
10,CASH_OUT,93810.76,C1190429229,93810.76,C2104652067,4096048.05,DOMESTIC,1,0
10,CASH_OUT,503405.88,C140359285,503405.88,C2020337583,29669,DOMESTIC,1,0
11,CASH_OUT,313418.28,C2021456831,313418.28,C157591472,688164.64,DOMESTIC,1,1
11,CASH_OUT,12461,C938980312,12461,C621014131,27964.11,DOMESTIC,1,0
12,CASH_OUT,1041647.06,C169939918,1041647.06,C1673501963,52730.33,DOMESTIC,1,0
12,CASH_OUT,2007,C1331829443,2007,C127509847,129917.8,DOMESTIC,1,0
13,CASH_OUT,1161495.82,C165094398,1161495.82,C1966002811,319036.02,DOMESTIC,1,1
15,CASH_OUT,747282.4,C842684426,747282.4,C2025644484,5340917.82,DOMESTIC,1,0
16,CASH_OUT,828720.89,C1002446735,828720.89,C185805228,9142622.59,DOMESTIC,1,0
18,CASH_OUT,295664.18,C1446413189,295664.18,C185805228,10184336.54,DOMESTIC,1,1
18,CASH_OUT,314251.58,C1462280812,75956.47,C90486891,7962205.25,DOMESTIC,1,1
