trans_type,amount,oldbalanceOrg,oldbalanceDest,accountType,incoming_domestic_amount_30_src,incoming_domestic_amount_60_src,incoming_domestic_amount_90_src,outgoing_domestic_amount_30_src,outgoing_domestic_amount_60_src,outgoing_domestic_amount_90_src,incoming_foreign_amount_30_src,incoming_foreign_amount_60_src,incoming_foreign_amount_90_src,outgoing_foreign_amount_30_src,outgoing_foreign_amount_60_src,outgoing_foreign_amount_90_src,incoming_domestic_count_30_src,incoming_domestic_count_60_src,incoming_domestic_count_90_src,outgoing_domestic_count_30_src,outgoing_domestic_count_60_src,outgoing_domestic_count_90_src,incoming_foreign_count_30_src,incoming_foreign_count_60_src,incoming_foreign_count_90_src,outgoing_foreign_count_30_src,outgoing_foreign_count_60_src,outgoing_foreign_count_90_src,balance_difference_30_src,balance_difference_60_src,balance_difference_90_src,incoming_domestic_amount_30_dst,incoming_domestic_amount_60_dst,incoming_domestic_amount_90_dst,outgoing_domestic_amount_30_dst,outgoing_domestic_amount_60_dst,outgoing_domestic_amount_90_dst,incoming_foreign_amount_30_dst,incoming_foreign_amount_60_dst,incoming_foreign_amount_90_dst,outgoing_foreign_amount_30_dst,outgoing_foreign_amount_60_dst,outgoing_foreign_amount_90_dst,incoming_domestic_count_30_dst,incoming_domestic_count_60_dst,incoming_domestic_count_90_dst,outgoing_domestic_count_30_dst,outgoing_domestic_count_60_dst,outgoing_domestic_count_90_dst,incoming_foreign_count_30_dst,incoming_foreign_count_60_dst,incoming_foreign_count_90_dst,outgoing_foreign_count_30_dst,outgoing_foreign_count_60_dst,outgoing_foreign_count_90_dst,balance_difference_30_dst,balance_difference_60_dst,balance_difference_90,isFraud,isFlaggedFraud
0,98630.1,5909496.2,5085887.89,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-5909496.2,-5909496.2,-5909496.2,1088341.0099999998,1088341.0099999998,1088341.0099999998,347738.71,423508.25,423508.25,276022.48,276022.48,276022.48,0.0,0.0,0.0,6,6,6,3,4,4,1,1,1,0,0,0,0.0,0.0,0.0,0,0
0,187246.44,5240093.03,3902778.59,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-5240093.03,-5240093.03,-5240093.03,944855.49,1123881.27,1123881.27,606478.38,606478.38,606478.38,0.0,0.0,0.0,0.0,0.0,0.0,4,6,6,2,2,2,0,0,0,0,0,0,0.0,0.0,0.0,0,0
0,105381.42,4483514.09,653448.51,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-4483514.09,-4483514.09,-4483514.09,221786.36,301026.69999999995,301026.69999999995,384536.48,384536.48,384536.48,149875.65,149875.65,149875.65,0.0,0.0,0.0,2,3,3,3,3,3,1,1,1,0,0,0,0.0,0.0,0.0,0,0
0,100368.81,7473908.76,5955433.36,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-7473908.76,-7473908.76,-7473908.76,350033.37,429267.63,429267.63,409279.36,533004.11,533004.11,0.0,0.0,0.0,0.0,0.0,0.0,2,3,3,3,5,5,0,0,0,0,0,0,0.0,0.0,0.0,0,0
0,284681.43,7109098.65,1114621.23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-7109098.65,-7109098.65,-7109098.65,208519.0,208519.0,208519.0,726351.03,794343.8200000002,794343.8200000002,431998.38,431998.38,431998.38,412674.67,412674.67,412674.67,3,3,3,4,5,5,1,1,1,1,1,1,0.0,0.0,0.0,0,0
0,236226.75,7706259.81,2688573.86,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-7706259.81,-7706259.81,-7706259.81,277636.81,277636.81,277636.81,916643.43,1335923.75,1335923.75,0.0,0.0,0.0,0.0,0.0,0.0,2,2,2,3,5,5,0,0,0,0,0,0,0.0,0.0,0.0,0,0
0,178685.32,4642568.85,2885159.64,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-4642568.85,-4642568.85,-4642568.85,737900.57,1645366.7699999998,1645366.7699999998,901564.57,1603083.75,1603083.75,1087808.24,1087808.24,1087808.24,0.0,0.0,0.0,3,7,7,4,6,6,1,1,1,0,0,0,0.0,0.0,0.0,0,0
0,140953.45,4516298.07,856393.45,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-4516298.07,-4516298.07,-4516298.07,286360.22,443478.54999999993,443478.54999999993,447227.69,789033.3200000002,789033.3200000002,0.0,0.0,0.0,0.0,0.0,0.0,2,3,3,3,5,5,0,0,0,0,0,0,0.0,0.0,0.0,0,0
0,177321.68,5558656.68,8347260.57,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-5558656.68,-5558656.68,-5558656.68,1161715.94,1161715.94,1161715.94,850494.28,850494.28,850494.28,0.0,101571.0,101571.0,0.0,0.0,0.0,5,5,5,3,3,3,0,1,1,0,0,0,0.0,0.0,0.0,0,0
0,368153.05,5227949.66,3408985.38,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-5227949.66,-5227949.66,-5227949.66,301029.74,301029.74,301029.74,589109.29,676514.7100000001,676514.7100000001,0.0,0.0,0.0,0.0,800933.72,800933.72,4,4,4,2,3,3,0,0,0,0,1,1,0.0,0.0,0.0,0,0
0,202641.32,7296042.48,5533224.82,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-7296042.48,-7296042.48,-7296042.48,1773010.0400000003,2048954.7,2048954.7,842372.7000000002,915209.82,915209.82,1033159.95,1033159.95,1033159.95,1343477.32,1343477.32,1343477.32,7,9,9,4,5,5,1,1,1,1,1,1,0.0,0.0,0.0,0,0
0,91042.21,4584023.35,11630409.63,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-4584023.35,-4584023.35,-4584023.35,962969.37,962969.37,962969.37,0.0,101631.43,101631.43,0.0,1735917.15,1735917.15,0.0,779018.21,779018.21,5,5,5,0,2,2,0,2,2,0,2,2,0.0,0.0,0.0,0,0
0,101498.64,6662936.57,4860449.77,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-6662936.57,-6662936.57,-6662936.57,770662.63,1520576.4200000004,1520576.4200000004,279207.74,279207.74,279207.74,0.0,0.0,0.0,930992.6,930992.6,930992.6,3,7,7,3,3,3,0,0,0,1,1,1,0.0,0.0,0.0,0,0
0,358674.62,4277569.34,2916072.02,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-4277569.34,-4277569.34,-4277569.34,86081.87,645699.39,645699.39,102780.21,102780.21,102780.21,0.0,0.0,0.0,0.0,0.0,0.0,1,4,4,1,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0,0
0,56777.06,6082813.33,127038.62,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-6082813.33,-6082813.33,-6082813.33,474318.81000000006,786193.1400000001,786193.1400000001,491668.25,723937.83,723937.83,0.0,0.0,0.0,319384.73,319384.73,319384.73,2,3,3,2,3,3,0,0,0,1,1,1,0.0,0.0,0.0,0,0
0,62886.35,5228245.8,6130308.19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-5228245.8,-5228245.8,-5228245.8,681859.0700000001,1192777.55,1192777.55,0.0,221867.69,221867.69,0.0,923955.21,923955.21,0.0,0.0,0.0,4,7,7,0,1,1,0,1,1,0,0,0,0.0,0.0,0.0,0,0
